job_index,name,source,core,tier,spent,node_count,hp_per_second,kills_per_second,player_hp_lost,deaths,min_hp,followers_per_minute,q_casts,v_casts,generated,frame_p95_ms,gear_set,gear_rank,q,v,nodes
184,random magic seg6 #0,random,magic,seg6,16000,33,4740.92,34.125,173.0,0,96.0,4477.5,0,0,1760,2.83,gravemarch,6,DTQ,,core.magic DO12 DO05 DT01 DT02 pick.M2 DO01 DTQ IN01 DT06 DTQ6 DO11 DT03 DO09 DTQ3 DT08 DT11 DOQ DOQ5 DT10 DO02 DOQ3 IN03 DTQ4 DT09 DT12 DT05 IN04 DOK1 DO06 DT07 DOQ6 IN02
188,random magic seg6 #4,random,magic,seg6,16000,31,4466.09,32.000,139.2,0,118.4,4672.5,0,0,2260,3.96,conduit,6,,,core.magic DT02 pick.M2 DO01 DT03 DT10 IN02 DO05 DO12 DO06 DT06 DO04 DO02 DO09 IN01 IN05 IN04 DT11 DTK2 DT09 DO07 DOC DTF1 DT05 IN11 DOF1 DO03 DO10 IN12 IN03 INS1
192,random magic seg6 #8,random,magic,seg6,16000,34,4661.96,31.625,160.7,0,77.6,4102.5,1,0,1657,2.48,conduit,6,DOQ,,core.magic IN01 DO01 DT02 DT03 IN06 DO05 DO06 DOQ DTQ DO12 DOQ1 DOQ5 IN03 DTQ3 DT08 INQ INQ6 DO09 DOF1 DT10 DO04 DOQ4 DTQ6 INQ5 IN10 IN02 INQ3 DTQ5 DT01 DT11 DO03 pick.M1 DTS1
196,random magic seg6 #12,random,magic,seg6,16000,33,5318.47,36.750,88.7,1,9.4,4875.0,1,0,1737,5.90,lattice,6,DTQ,,core.magic DO05 DT01 IN01 DT04 DT05 IN02 DT02 pick.M1 DT10 DO01 DT06 INQ IN10 DO02 DT03 DT11 IN06 IN09 IN05 DO07 INF1 IN04 DOK1 INQ6 DOQ IN08 DTQ IN03 DOQ2 DO08 DT07 DO12
200,random melee seg9 #0,random,melee,seg9,32000,46,6425.33,47.125,92.8,0,225.9,6570.0,0,2,246,5.50,lattice,10,EXQ,BAV,core.melee BA02 MO02 MO01 EX02 BA01 MO06 pick.M2 BAQ BA03 MO04 BAQ5 BA05 BAK1 BA08 MO05 MO08 MO09 BA10 BA04 MOS2 MOF1 MO11 BA06 MOQ BAQ1 MO10 BAQ4 BA09 EX01 MOQ2 BAC pick.D2 BAV MOQ3 BAQ3 BA11 MO07 G1 core.ranged EXQ PR01 BA12 EXQ4 BAV1 BAV2
204,random melee seg9 #4,random,melee,seg9,32000,46,6511.42,45.250,82.2,0,236.5,5850.0,1,2,600,5.74,lattice,10,EXQ,EXV,core.melee pick.M3 pick.D3 BA02 MO01 BA01 MO04 EX01 EX02 MO07 BA04 BAQ MOQ BA05 BA07 MO03 EX03 MO12 EX07 BAQ3 MOQ4 BAQ6 EX12 EX10 MO09 EXQ BA10 MOF1 BA12 EX05 EXQ1 EX06 BAQ2 BA09 BAC BAQ4 EXQ5 BA03 EXC MOQ3 BA11 EXQ7 EX09 EXV MOK2 EXS1
208,random melee seg9 #8,random,melee,seg9,32000,60,4602.70,29.750,60.9,0,378.8,4020.0,80,0,523,1.61,gravemarch,10,BAQ,,core.melee MO02 pick.D1 EX01 BA02 BA05 MO06 MO11 pick.M2 MO05 BA06 MO08 BAQ MO03 BAQ2 BAQ4 MO10 BAQ6 BAQ3 MOQ BA01 MOQ1 MO01 EX12 EX03 MOQ3 MOQ6 MO04 BAQ1 BA04 BA09 EX04 MOQ5 BA11 MO07 BA08 BAQ5 MOF1 EX09 MOK1 EXQ EXQ7 MOK2 EX07 EXQ3 EXF2 EXQ1 BA10 EXE2 EXQ6 EX02 EX06 BA07 EXK1 BAS2 MOQ2 EX10 BA12 MOQ4 BA03
212,random melee seg9 #12,random,melee,seg9,32000,54,6406.92,44.500,54.8,0,283.2,5700.0,80,0,240,5.89,lattice,10,BAQ,,core.melee pick.M2 MO02 BA01 EX02 EX01 pick.D2 MO05 MOQ EX05 BA03 EXQ BA02 MOQ3 BA08 EXQ6 BA06 BA07 MOQ5 EXQ2 MO01 MO06 BAK1 BAQ MO11 MOQ6 BAK2 BA10 BA12 MOQ1 BA09 BAQ6 MOQ4 BAQ5 BAQ2 BA04 MO04 EX06 BAQ1 EXQ7 MOC MO07 MO03 BAA MO10 BA05 MOK1 EXQ3 MOF1 EX04 MO12 BAF2 MOE1 MO08
216,random ranged seg9 #0,random,ranged,seg9,32000,55,6036.43,42.250,116.8,0,206.2,5535.0,0,0,2427,2.31,lattice,10,BRQ,,core.ranged pick.M2 OR02 OR05 BR01 OR10 BR03 BR08 BR07 BR04 BR09 PR07 OR01 BRQ BR06 PR03 pick.D2 PR11 BRK2 OR06 PR01 BRK1 BRQ3 BR11 PR12 BRF2 PR10 OR09 OR12 PR09 ORA ORS2 BRQ2 PR04 OR04 BRQ1 PR06 BRQ4 BR02 ORQ PRQ BRQ5 PR05 PRK2 ORQ1 OR11 ORF1 ORQ6 PR02 BR05 ORK1 OR03 BR12 PRQ2 ORE1
220,random ranged seg9 #4,random,ranged,seg9,32000,53,5952.05,42.875,143.0,0,280.7,5595.0,9,1,1424,1.14,gravemarch,10,ORQ,BRV,core.ranged pick.M2 OR01 BR11 OR02 OR05 PR01 ORQ BR01 PR02 OR03 ORQ4 pick.D1 PR05 BRQ OR10 OR08 PR03 PR08 OR09 BRQ1 OR07 BR03 ORF2 BRQ6 OR04 ORQ2 BRQ5 BRQ7 BR04 BR07 BR08 BR06 BRC BRQ4 OR11 ORK2 BR02 PR06 BR05 PRF1 PRQ PR07 PR11 PRQ5 BR09 BRV OR12 PR10 ORQ7 ORE2 ORS1 BRS2
224,random ranged seg9 #8,random,ranged,seg9,32000,49,2834.93,19.875,121.4,0,221.1,2595.0,1,0,1191,1.41,conduit,10,PRQ,,core.ranged BR01 pick.M1 OR02 PR01 PR02 OR06 PR05 PR06 BR03 pick.D1 PRK1 BR07 BR02 BR06 BR04 BR11 OR05 BRK2 OR10 PRQ BRA OR11 PR03 PR10 BRF2 ORQ PR04 ORK1 PRF2 OR09 PRQ1 ORK2 BRQ BR05 PR08 PRQ2 BR09 PRQ5 ORA ORQ3 BRQ1 ORQ7 BR08 PRK2 BR12 BRQ4 BRQ3 PR09
228,random ranged seg9 #12,random,ranged,seg9,32000,49,6153.23,43.875,162.1,0,185.3,5752.5,0,2,2142,1.17,conduit,10,BRQ,ORV,core.ranged OR01 pick.D3 BR01 pick.M2 OR04 BR02 OR09 BR03 BR06 BRQ BR11 OR12 BRQ5 BR05 ORQ ORQ2 BRQ2 OR07 PR02 BRQ1 BRQ6 ORK2 BR04 ORQ5 OR03 PR01 PR03 PR08 BRQ4 PR06 BRQ3 BR09 PR05 PRF1 ORQ7 ORQ3 ORA BRS2 PRQ BR12 BRF2 ORV PR10 PRQ4 PR04 OR08 PR09 BRK2
232,random magic seg9 #0,random,magic,seg9,32000,46,4938.47,34.500,195.7,0,104.7,4650.0,1,1,1334,3.20,conduit,10,DOQ,INV,core.magic DT01 pick.M1 DO01 IN01 IN02 IN06 DT03 INQ DT02 DO12 IN10 pick.D3 DO05 DOQ DO03 IN09 DOF1 DT06 DO08 IN04 INK1 DTQ DO09 DTQ2 DTK1 INQ6 INQ1 DT07 IN03 INQ5 DOA DTQ3 DT10 DOQ2 INQ2 IN05 INV DO07 INF1 DOQ6 DOQ5 INK2 DT09 IN08 INV3
236,random magic seg9 #4,random,magic,seg9,32000,46,6201.85,44.000,123.3,1,14.8,5887.5,1,1,1772,5.67,lattice,10,INQ,INV,core.magic DO01 IN01 IN05 pick.D3 IN02 pick.M3 IN06 DT01 DT04 DT05 DO03 INQ DT11 INK2 INK1 INQ2 IN11 IN08 IN09 IN07 INQ1 DO05 INQ5 IN12 DO12 IN03 DT02 DOK2 INV DO09 DO11 DT10 DTK1 DO07 DO06 INQ3 DO04 INV2 DO08 DTQ DO10 INV1 DT06 IN10 DOQ
240,random magic seg9 #8,random,magic,seg9,32000,61,6229.11,45.750,32.0,0,303.5,6285.0,0,0,2278,2.83,gravemarch,10,BRQ,,core.magic IN01 DO05 DO07 pick.M2 pick.D1 DO01 DO12 DOQ IN05 DOQ2 DOQ3 DO06 DO02 DOQ6 G1 core.ranged DOQ5 PR02 PR05 BR02 PRQ BR05 IN03 IN04 IN07 BR01 DOC DOF1 DO09 BR03 BRF1 DOA DOQ1 BR08 BR04 PR10 DT05 BR09 DT01 PRQ2 DO04 BRQ IN02 BR06 PR01 BRQ7 BRQ2 PRK1 DT06 DOK1 BRE1 PR03 INK2 DTQ PR07 IN06 PR08 DT02 OR02 PRS2
244,random magic seg9 #12,random,magic,seg9,32000,55,5329.58,37.500,113.8,1,1.0,5092.5,1,0,1773,3.51,conduit,10,INQ,,core.magic DT01 pick.D3 IN02 DO05 DT04 pick.M1 DO07 DO01 DO02 DT11 DT03 DO03 IN01 IN06 IN03 INQ DO09 DO10 INF1 DO12 DT02 DT06 DOF1 DT07 INK1 DO11 IN05 DOA INA IN04 DO08 DOQ DO04 DOQ3 IN09 DOK1 INQ6 IN08 DTQ IN10 DTQ4 INQ3 DO06 DTQ5 DT08 IN11 DOQ4 DTQ3 IN07 INQ5 DTQ2 DOQ6 DOE1 DT05
248,random melee seg12 #0,random,melee,seg12,63876,83,6597.75,43.875,0.0,0,502.0,5887.5,1,1,1899,1.67,conduit,15,MOQ,BAV,core.melee MO01 MO04 pick.P2 EX01 MO02 MO05 MO09 BA02 MO10 pick.M3 BA01 BA04 EX06 BA03 MO06 MO03 MO08 BA07 EX12 EX03 EX10 BA10 BA08 BA06 MO11 BA09 EX07 BA12 EX05 MOQ BAK2 MOF1 EXF2 EX04 BA05 MOK2 EXK1 MOQ2 BAC pick.D3 BA11 EX08 BAQ EX09 EX02 BAS2 BAQ6 BAQ1 BAV MOQ4 MO07 MOQ3 MO12 BAV1 BAQ4 MOK1 EXQ EXS2 EXK2 EXQ4 EX11 BAQ5 MOV EXC BAV2 EXQ1 MOQ5 MOC BAQ3 EXQ3 EXQ6 EXS1 BAF2 BAQ2 MOA MOS2 EXE2 MOQ1 BAK1 BAE2 BAS1 MOS1
252,random melee seg12 #4,random,melee,seg12,64000,95,5999.01,44.000,0.0,0,570.0,6037.5,0,1,2137,1.96,gravemarch,15,MOQ,EXV,core.melee pick.M2 BA02 EX01 EX03 BA06 BAQ EXQ pick.D3 BAQ5 MO02 BAQ1 BA07 EXQ2 EXQ5 EXQ6 EX07 G1 core.ranged MO06 MO10 MO11 MOQ MOQ6 BA08 EXQ4 MOF2 EX04 BA12 OR01 MOQ5 MOQ3 MO08 BA01 OR03 MO07 BA11 EXQ7 OR08 MOE2 EX10 EX02 MO01 BAQ4 MOQ4 EX11 BA03 pick.P3 BA05 BAQ3 ORQ OR07 EX09 EX08 EXQ3 OR12 MO05 OR04 BA10 MO09 OR09 EXC MO04 OR02 ORQ5 ORQ4 BAQ2 BR02 EXF2 BAA ORQ6 BAQ6 PR02 MOS1 MO03 EX05 ORS1 EXV ORC EX12 OR10 EX06 ORV MOQ2 OR06 ORQ7 ORK1 BR06 BR01 MOC OR05 EXK2 PR01 PR03 EXE2
256,random melee seg12 #8,random,melee,seg12,63952,83,7325.89,47.500,25.8,0,458.0,6367.5,80,2,901,4.08,lattice,15,BAQ,BAV,core.melee pick.M3 BA02 MO02 BA06 MO01 EX02 BAQ MO06 pick.D2 BAQ5 BA05 MO11 MO08 MOQ pick.P3 MOQ6 MO03 MOF1 BAQ1 MO05 MO10 MO07 BAQ3 MOQ5 MOA MOQ2 BA01 MO09 BA04 BA08 EX01 BAF2 EX12 BA03 EX04 EX09 EXQ BA09 BA07 BA12 BAK1 MOQ1 BAV BAQ4 MOK2 EX10 EXQ5 EX06 BA10 MOV MOV1 EX08 MOQ3 BAV3 EXQ7 EXQ4 EX05 EX03 MOS1 MO04 BAQ6 BAK2 MOV3 BA11 EXF1 EXQ6 BAC EX11 MOS2 MOQ4 MOC MO12 BAQ2 EX07 BAV2 MOK1 MOE1 BAS2 EXQ3 EXS1 BAE2 BAS1
260,random melee seg12 #12,random,melee,seg12,64000,78,6894.40,45.500,23.7,0,388.8,5640.0,80,2,1449,4.85,lattice,15,BAQ,MOV,core.melee pick.P1 EX02 pick.D1 EX01 MO01 EXQ EX08 MO04 EXQ5 EX05 EXK2 MO07 EXQ3 BA01 BA03 EX11 MOQ EXQ2 pick.M3 BA07 BA12 EXF1 BAQ BA04 BAQ5 G1 core.ranged EXQ6 BAF1 EX12 MOQ1 MOQ4 BA09 MO02 EXQ7 BR01 BAQ1 MOQ2 BAK1 OR02 BR02 MO09 MO03 MO12 PR02 EXV BRQ BAA EX10 EX03 MO08 MOK1 MO11 BRQ4 BR06 MOQ3 MR5 BAQ2 BAV EX09 EXA PR01 BA08 BA02 EXC BAV1 PR03 BR11 MOV MOC BRQ3 PR05 EX04 EX06 OR01 BA05 BAQ4
